phase,count,repr_metric,action_metric,spearman,pearson
hold,10,projector_output_pooled_cosine_distance,action_first_l2,-0.7818181818181819,-0.41240879319774737
hold,10,projector_output_pooled_cosine_distance,action_first_translation_l2,-0.296969696969697,-0.1765725132000218
hold,10,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.3575757575757576,-0.22541856534458543
hold,10,projector_output_pooled_cosine_distance,action_first_gripper_abs,-0.7818181818181819,-0.4124494755012922
hold,10,projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.18787878787878787,-0.18251611164449894
hold,10,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.11515151515151516,-0.12087391263310356
hold,10,projector_output_pooled_l2,action_first_l2,-0.503030303030303,-0.4755824316069345
hold,10,projector_output_pooled_l2,action_first_translation_l2,-0.6,-0.5197750572969504
hold,10,projector_output_pooled_l2,action_first_rotation_l2,-0.296969696969697,-0.39497007371514703
hold,10,projector_output_pooled_l2,action_first_gripper_abs,-0.503030303030303,-0.47557717723710213
hold,10,projector_output_pooled_l2,action_chunk_mean_l2,-0.38181818181818183,-0.4738715721432107
hold,10,projector_output_pooled_l2,action_chunk_max_l2,-0.4666666666666667,-0.49878239452945344
hold,10,action_hidden_states_input_pooled_cosine_distance,action_first_l2,0.6727272727272727,0.661267959465719
hold,10,action_hidden_states_input_pooled_cosine_distance,action_first_translation_l2,0.6727272727272727,0.7201028822262232
hold,10,action_hidden_states_input_pooled_cosine_distance,action_first_rotation_l2,0.3696969696969697,0.5899375117794652
hold,10,action_hidden_states_input_pooled_cosine_distance,action_first_gripper_abs,0.6727272727272727,0.6612543551165377
hold,10,action_hidden_states_input_pooled_cosine_distance,action_chunk_mean_l2,0.7818181818181819,0.7708511653430166
hold,10,action_hidden_states_input_pooled_cosine_distance,action_chunk_max_l2,0.8545454545454545,0.821041076459544
hold,10,action_hidden_states_input_pooled_l2,action_first_l2,0.5757575757575758,0.40767209664352533
hold,10,action_hidden_states_input_pooled_l2,action_first_translation_l2,0.47878787878787876,0.46792091457077306
hold,10,action_hidden_states_input_pooled_l2,action_first_rotation_l2,0.12727272727272726,0.29436063675759144
hold,10,action_hidden_states_input_pooled_l2,action_first_gripper_abs,0.5757575757575758,0.40770208874050995
hold,10,action_hidden_states_input_pooled_l2,action_chunk_mean_l2,0.5878787878787879,0.5076449063088144
hold,10,action_hidden_states_input_pooled_l2,action_chunk_max_l2,0.6606060606060606,0.5794804552179948
hold,10,action_head_output_pooled_cosine_distance,action_first_l2,0.4909090909090909,0.27936780209937245
hold,10,action_head_output_pooled_cosine_distance,action_first_translation_l2,0.5393939393939394,0.538094864106201
hold,10,action_head_output_pooled_cosine_distance,action_first_rotation_l2,0.23636363636363636,0.3236020867216494
hold,10,action_head_output_pooled_cosine_distance,action_first_gripper_abs,0.4909090909090909,0.2793271082607742
hold,10,action_head_output_pooled_cosine_distance,action_chunk_mean_l2,0.8909090909090909,0.4528107503243706
hold,10,action_head_output_pooled_cosine_distance,action_chunk_max_l2,0.9636363636363636,0.5300702068848432
hold,10,action_head_output_pooled_l2,action_first_l2,0.4909090909090909,0.6063017960760861
hold,10,action_head_output_pooled_l2,action_first_translation_l2,0.5393939393939394,0.7611131335038093
hold,10,action_head_output_pooled_l2,action_first_rotation_l2,0.23636363636363636,0.6077010858426608
hold,10,action_head_output_pooled_l2,action_first_gripper_abs,0.4909090909090909,0.6062565444193662
hold,10,action_head_output_pooled_l2,action_chunk_mean_l2,0.8909090909090909,0.7562044544297618
hold,10,action_head_output_pooled_l2,action_chunk_max_l2,0.9636363636363636,0.8064351251685373
lift,40,vision_backbone_output_pooled_cosine_distance,action_first_l2,-0.5202626641651031,-0.5848114608801576
lift,40,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,-0.8718574108818011,-0.8418597435431601
lift,40,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.46626632231252096,-0.3334868640330342
lift,40,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,-0.26204891639111466,-0.4109463818120653
lift,40,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.4733583489681051,-0.5425868137880537
lift,40,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.46622889305816134,-0.5413246609201612
lift,40,vision_backbone_output_pooled_l2,action_first_l2,-0.5660412757973734,-0.6198768474742992
lift,40,vision_backbone_output_pooled_l2,action_first_translation_l2,-0.7819887429643527,-0.745439584072112
lift,40,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.3831284753475595,-0.29723881528607266
lift,40,vision_backbone_output_pooled_l2,action_first_gripper_abs,-0.34019853536115,-0.48096655991112736
lift,40,vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.42626641651031894,-0.5523080725404701
lift,40,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.4549718574108818,-0.5655383148262874
lift,40,projector_output_pooled_cosine_distance,action_first_l2,-0.4375234521575985,-0.48995174794697977
lift,40,projector_output_pooled_cosine_distance,action_first_translation_l2,-0.6542213883677298,-0.6485433229334312
lift,40,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.3414657168233576,-0.276729513514592
lift,40,projector_output_pooled_cosine_distance,action_first_gripper_abs,-0.23080928862689615,-0.3595203045198068
lift,40,projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.49193245778611633,-0.5746672694059316
lift,40,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.32833020637898686,-0.4598319717188466
