variant,frame,episode_id,progress,planner_phase,total_energy,sensitive_energy,null_energy,sensitive_ratio
original_P0_raw,episode_000003_000019,episode_000003,19,descent_to_grasp,295.85542325649556,88.89479700281028,282.1845965606721,0.30046701873618126
original_P0_raw,episode_000003_000020,episode_000003,20,descent_to_grasp,294.55922171224074,85.40604852795151,281.9059097829667,0.28994525457901277
original_P0_raw,episode_000003_000021,episode_000003,21,descent_to_grasp,302.9566451853535,92.3858088538398,288.52658661618335,0.3049472930270823
original_P0_raw,episode_000003_000022,episode_000003,22,descent_to_grasp,295.7398923614136,98.19377013709828,278.9624839296553,0.33202747641870056
original_P0_raw,episode_000003_000023,episode_000003,23,descent_to_grasp,344.25158865326483,139.70218649234903,314.63066503370834,0.4058142100051689
original_P0_raw,episode_000003_000024,episode_000003,24,descent_to_grasp,331.9800274206728,123.5937655420313,308.11575702221404,0.3722927746656815
original_P0_raw,episode_000003_000025,episode_000003,25,descent_to_grasp,335.744946588325,123.82898076365352,312.0753958302896,0.36881859882611107
original_P0_raw,episode_000003_000026,episode_000003,26,grasp_close,317.78042570513793,78.00512802844828,308.0577851030616,0.24546863720557688
original_P0_raw,episode_000003_000027,episode_000003,27,grasp_close,309.7370510433413,77.08642096125408,299.9912073584987,0.24887697710554954
original_P0_raw,episode_000003_000028,episode_000003,28,grasp_close,289.9763201869288,67.22854421078783,282.0755025032312,0.23184149715207775
original_P0_raw,episode_000003_000029,episode_000003,29,grasp_close,287.3712513680839,65.92364178837417,279.7075429197729,0.22940235487903712
original_P0_raw,episode_000003_000030,episode_000003,30,grasp_close,285.2321122126447,65.40152313891846,277.63284857594977,0.22929228631228124
original_P0_raw,episode_000003_000031,episode_000003,31,grasp_close,288.5437975766131,66.28398907106313,280.82727060020477,0.22971898764680135
original_P0_raw,episode_000003_000032,episode_000003,32,grasp_close,287.847999150707,65.1463655790884,280.37906781159893,0.22632210670667222
original_P0_raw,episode_000003_000033,episode_000003,33,grasp_close,287.699433694419,64.67322762665235,280.3361157190429,0.2247944210253304
original_P0_raw,episode_000003_000034,episode_000003,34,grasp_close,287.60219938207547,65.12324503021293,280.132090354072,0.2264351426036823
original_P0_raw,episode_000003_000035,episode_000003,35,grasp_close,286.61287590912076,64.62777062231673,279.2314307188327,0.22548802253674363
original_P0_raw,episode_000003_000036,episode_000003,36,lift,287.7928471985292,67.19530298702928,279.83837148453625,0.23348496545737876
original_P0_raw,episode_000003_000037,episode_000003,37,lift,283.3860154309687,61.35577948359582,276.66424067053117,0.21650955284538997
original_P0_raw,episode_000003_000038,episode_000003,38,lift,272.67913112429864,56.317035870092596,266.8001124840639,0.20653225510103637
original_P0_raw,episode_000003_000039,episode_000003,39,lift,243.64112539816844,38.00055105091794,240.65941931516542,0.15596936267970304
original_P0_raw,episode_000003_000040,episode_000003,40,lift,255.65889099773102,41.33681607843463,252.29493887648118,0.161687379293222
original_P0_raw,episode_000003_000041,episode_000003,41,lift,262.4600155955496,35.03276408427015,260.11144770469446,0.13347848054027237
original_P0_raw,episode_000003_000042,episode_000003,42,lift,257.0078018378541,33.99579056673908,254.74947778016758,0.13227532519883184
original_P0_raw,episode_000003_000043,episode_000003,43,lift,255.18018261980419,33.95327955381842,252.91125006495238,0.13305609865639836
original_P0_raw,episode_000004_000000,episode_000004,0,hold,218.32766732126845,58.88718625919471,210.2362233593949,0.2697193030168843
original_P0_raw,episode_000004_000001,episode_000004,1,hold,221.6458278438825,61.45547520062846,212.955623472274,0.2772688112311998
original_P0_raw,episode_000004_000002,episode_000004,2,alignment,220.7739958121521,60.69117209759184,212.26808251898035,0.2749018147464775
original_P0_raw,episode_000004_000003,episode_000004,3,alignment,220.26423717574818,60.24985780010946,211.86384498937247,0.27353445376625657
original_P0_raw,episode_000004_000004,episode_000004,4,alignment,221.21373916442008,60.34069916115015,212.82508879323333,0.27277102854945695
original_P0_raw,episode_000004_000005,episode_000004,5,alignment,214.11666714483667,59.078321238706806,205.8050026331453,0.2759164992921545
original_P0_raw,episode_000004_000006,episode_000004,6,alignment,208.68843871309772,57.01751810881042,200.74826794077657,0.2732183845948332
original_P0_raw,episode_000004_000007,episode_000004,7,alignment,237.92475270758752,63.86670477936342,229.19256526247162,0.2684323680178682
original_P0_raw,episode_000004_000008,episode_000004,8,alignment,237.3362086790997,54.754911664597614,230.93370390389376,0.2307061024077926
