planner_phase,subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
descent_to_grasp,delta_basis,128,40,0.1587910044107471,0.14057505188258462,0.279250760876984,0.0010623633509506882,0.0009299165736172546,0.002019718074366149,0.0012297525917451951,0.0007046231208509349,0.002805125175218439,0.11389459939673544,0.09086108207702637,0.2460106909275055,0.2981695056246003,0.3201950226990087,0.4070048424951487,0.2290744188546491,0.22020329560893148,0.4694555916369148,40,0
descent_to_grasp,random_basis,1,40,0.3877120665322139,0.35255583481306424,0.7475496138978763,0.004033847739699411,0.003470857655060216,0.007930123285596884,0.002401768528963137,0.0011576000375160887,0.0056357945366812545,0.5245967388153077,0.49676671624183655,0.8589950919151307,4.66601307932162e-06,3.013644577268178e-06,1.1114995688256724e-05,0.0001533567331822635,0.0002585785055540246,0.0007707599367674123,25,15
descent_to_grasp,random_basis,2,40,0.38770718026234147,0.35252650947419617,0.7475630602790969,0.004033985433861284,0.003470687056916448,0.007929759764714857,0.0024018065716784223,0.001157848990180088,0.005636167043981613,0.5246025774627924,0.49676713347435,0.8589868307113647,4.728121058173795e-06,3.6167629086934883e-06,1.080692410215232e-05,0.0001582430030547633,0.00027486778434779313,0.0008247428920156064,25,15
descent_to_grasp,random_basis,4,40,0.3877128112998438,0.35258522719967655,0.7475717112698416,0.0040338946587585795,0.003472122302474287,0.007931474816850335,0.0024019572936851267,0.0011561805232123588,0.005637222938923973,0.5245870538055897,0.4967593848705292,0.8590894341468811,1.3345241426113196e-05,1.0744272613255122e-05,2.7353936454754792e-05,0.00015261196555237355,0.00022877716768140988,0.0007808460533145878,25,15
descent_to_grasp,random_basis,8,40,0.38769442030457457,0.35248595653161496,0.7475694635409139,0.004034127690815013,0.0034710283086051,0.007932461579536677,0.0024024607218348986,0.0011560490721286764,0.0056357123571320585,0.5245749298483133,0.4967493712902069,0.8591155350208283,1.9645345483448042e-05,1.790729875286422e-05,3.1765086571536864e-05,0.00017100296082165484,0.00026706528108526306,0.0008094550725370797,25,15
descent_to_grasp,random_basis,16,40,0.3876914217259418,0.3524153408589139,0.7474899239115421,0.004034096272414061,0.003469976611457162,0.00793066744279883,0.0024017650792144156,0.001157470069920741,0.005630367255138908,0.5246309332549572,0.4967835545539856,0.8589649558067322,6.0570559657911856e-05,6.178814529973208e-05,8.620959082358546e-05,0.00017400153945443982,0.000282222498537911,0.0007885713277575646,25,15
descent_to_grasp,random_basis,32,40,0.38766830252814055,0.3522386031592766,0.7474716778610626,0.004031813077377826,0.003469639707034524,0.007925182081812136,0.002400243508709539,0.0011602182426740536,0.005627022261028094,0.5244780581444501,0.496724009513855,0.85873743891716,0.00011172467854178728,0.00011426437925836803,0.00013891534091676705,0.00019712073725568387,0.0002736197757076467,0.0007928039937101062,27,13
descent_to_grasp,random_basis,64,40,0.38759760791062414,0.35212296097669615,0.7474452366990006,0.004031685699317727,0.0034726365931234157,0.007924559170265024,0.0024021057836745275,0.0011685686987833689,0.005635340252028049,0.5244278065860272,0.49672234058380127,0.8587186396121979,0.00021326890240526723,0.00021339848248680063,0.0002650327517085218,0.00026781535477204304,0.00032675021458153375,0.000934693687931465,27,13
descent_to_grasp,random_basis,128,40,0.3875909367368773,0.3526304701418358,0.7472966674268068,0.004032985414307934,0.0034650794558799265,0.007914688672299884,0.0023990121562053593,0.0011559000445400375,0.005623608495657806,0.5243251595646143,0.4966597259044647,0.8582063615322113,0.0004461259660302317,0.0004405220157031809,0.0005003351189405582,0.0002744865285189385,0.0003142098163120971,0.0009933596540297601,25,15
descent_to_grasp,sensitive_basis,1,40,0.18831471052205045,0.1667054703384025,0.3024749650444168,0.0019076199429850405,0.001848738732390602,0.003125638783268899,0.0034647104036475604,0.003569454870877427,0.005758145372208299,0.12364316459279508,0.030210036784410477,0.3871579930186272,0.014508261071693656,0.015476311463393032,0.02379801436053261,0.1995507127433457,0.18759401426107242,0.4375107192364008,36,4
descent_to_grasp,sensitive_basis,2,40,0.11788951849336864,0.1101546768586251,0.181362347489774,0.001658426294442335,0.0014112428817629568,0.003128030491008717,0.0013328226875500622,0.0012398148616872683,0.0026975370429981552,0.15033486038446425,0.1299164742231369,0.2677924990653992,0.019692893403531413,0.023560490070878744,0.03049849770764964,0.2699759047720276,0.2429323081474176,0.5912482895467701,40,0
descent_to_grasp,sensitive_basis,4,40,0.11021688428750057,0.09881152525250372,0.17719438641680174,0.0018488240438161469,0.0016661810923759702,0.0027887863909662213,0.0025995218384282604,0.0025571347738571094,0.004592969899348423,0.06740122344344854,0.06604401022195816,0.12675876617431642,0.02142266613725482,0.025560963959217094,0.03294220155466041,0.27764853897789565,0.25893644174564123,0.5968457053102336,40,0
descent_to_grasp,sensitive_basis,8,40,0.09527478356207195,0.08548328759229634,0.16845956523676947,0.0015212032251569678,0.001208564047604614,0.002556309983809688,0.00084887532490868,0.0005329332149123143,0.0015932036145468616,0.04087670857552439,0.03191469609737396,0.09244203418493273,0.030302948637811793,0.036111823171170565,0.04754433634831081,0.2925906397033243,0.28168485712833136,0.6209847471970663,40,0
descent_to_grasp,sensitive_basis,16,40,0.03219499686165607,0.029335857590285085,0.05443200382732914,0.001832594553661701,0.001556924343928277,0.0028952138599584957,0.0013081757215513226,0.0010759433671683433,0.0033116656375370935,0.019806002778932453,0.01008664071559906,0.052071394026279465,0.037772811463759284,0.045490213739993776,0.060066344346145224,0.35567042640374014,0.32463513406461497,0.7165447328164218,40,0
descent_to_grasp,sensitive_basis,32,40,0.018072224904831725,0.0188328380066565,0.029263798177901507,0.0013688175559856432,0.0011874643737015377,0.0022451438729541194,0.0008375537544340645,0.0006391582285944159,0.0013896733968240245,0.008417730766814202,0.005262110382318497,0.015912862867116934,0.04120280457312149,0.04847310024147839,0.06761745087441134,0.36979319836056446,0.33580545421546304,0.7258843794475611,40,0
descent_to_grasp,sensitive_basis,64,40,0.016034869020449878,0.012958725210755952,0.02890188334058923,0.0009660945495763571,0.0009047817634333704,0.001560141116688962,0.0006746081818118862,0.0005822195717938713,0.0011663323793223094,0.006006939639337361,0.004796512424945831,0.013795487582683565,0.044131388548389786,0.05241282914360286,0.07243141184367471,0.3718305542449464,0.33772147239188977,0.7179285512828315,40,0
