planner_phase,method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
descent_to_grasp,top3,40,3.0,3.0,3.0,139.33574877409447,138.10786665265107,168.58609474753533,0.12110270035866724,0.1300573417256999,0.18496515954559864,0.33493956627594956,0.31898759857121173,0.6359418382406241,0.5471814133701599,0.5769877331483234,0.8858685278413398,0.0016036179158714341,0.0011699822481156693,0.0032923811893287368,0.0014036697490042356,0.0006366635003816483,0.003194860490928186,0.2607611030805856,0.2602034956216812,0.4261981248855592,0.05292585698944661,0.03371741543213028,0.11986054581314824,0.12443268018711569,0.12083440710338705,0.1712092568497678,40,0
descent_to_grasp,top5,40,5.0,5.0,5.0,172.25027617527266,171.74165308290662,190.8257498959804,0.18490200642078083,0.18040623512558535,0.26105601455548494,0.3176787742318174,0.29646493167056165,0.593991608825569,0.5154133198596572,0.4895706646579526,0.842433065477022,0.0016036179158714341,0.0011699822481156693,0.0032923811893287368,0.0014036697490042356,0.0006366635003816483,0.003194860490928186,0.2607611030805856,0.2602034956216812,0.4261981248855592,0.07018664903357881,0.04628467233087688,0.15472413421335002,0.16093623600429793,0.15724359736323945,0.22196811089856944,40,0
grasp_close,all35_full_delta,50,35.0,35.0,35.0,282.2641331729543,286.08640979428867,300.1826517941794,1.0,1.0,1.0,0.0008207992698504754,0.0009338213920628588,0.0012007579866503517,0.001366644059378085,0.001571257063756153,0.001962921587047156,1.9130282791842184e-05,1.741494221972125e-05,3.339016318354544e-05,4.383001592768364e-05,3.9662286285808794e-05,7.953025788670784e-05,0.0007251214981079102,0.0004616081714630127,0.0018071353435516358,0.0036404023973727684,0.0028354156372416067,0.006947891393462954,0.7545359621649209,0.7766911112502213,0.9195112046118749,50,0
grasp_close,bottom10,50,10.0,10.0,10.0,101.33565302227078,102.03760545145644,110.50069658358163,0.06678673899109187,0.06482445624954578,0.07754741441426324,0.004382972850428784,0.0032522096896099276,0.007376333622750206,0.012042009805593857,0.006820824879201314,0.023511986835391793,0.0037678090129450088,0.0035069355687405443,0.004948665795717057,0.00043945904043978396,0.00044385230844223834,0.0008945201562688413,0.009932669401168824,0.004113435745239258,0.022980064153671268,7.822881679445938e-05,4.729187601289209e-05,0.0004644008355336044,0.031730714440136316,0.011890730136842,0.14254255989612766,31,19
grasp_close,bottom5,50,5.0,5.0,5.0,70.71104994606368,71.01013611515357,76.59371748700168,0.03195610844042429,0.03100037296329061,0.03688060408699029,0.00445881629971287,0.003409615517150565,0.007502885398795069,0.01204200967988774,0.006820824879201314,0.02351198695810732,0.0037678090088451815,0.0035069352417548723,0.004948663291099646,0.00043945902145937357,0.0004438537522268582,0.0008945195140898594,0.009932669401168824,0.004113435745239258,0.022980064153671268,2.385367510373917e-06,-1.7267932592603466e-05,0.00038028784619754556,0.010174020535823537,-0.004588123911512813,0.11082339151228367,20,30
grasp_close,no_correction,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004526128492758315,0.0034734940179620196,0.007431199049451035,0.012042009621159809,0.006820825190724815,0.023511986835391793,0.0037678090129450088,0.0035069355687405443,0.004948665795717057,0.00043945904043978396,0.00044385230844223834,0.0008945201562688413,0.009932669401168824,0.004113435745239258,0.022980064153671268,-6.492682553507061e-05,-9.137622210229012e-05,0.00019027783849508747,-0.01782806486230052,-0.02329752150036373,0.04417075010971653,14,36
grasp_close,top1,50,1.0,1.0,1.0,48.909048571374896,48.581187112929385,53.42581964145768,0.015171736827658494,0.0153128690729468,0.01697470661152842,0.004173749171524417,0.0034193274973199042,0.0065688865212643905,0.010328599401875915,0.006820825190724815,0.01921874134586023,0.003563813713376758,0.0033262181686443495,0.004652189070062176,0.0003976206777027352,0.0004073732666880522,0.0008777766137264898,0.008288131952285767,0.003921627998352051,0.018650078773498537,0.0002874524956988277,4.714230043793475e-05,0.0007048604484808064,0.020957439532435375,0.012215499149857385,0.12180991803102317,29,21
grasp_close,top10,50,10.0,10.0,10.0,216.0216980714604,218.78075735697797,228.79323118409698,0.3571271734626833,0.3562613095843786,0.38211846700132507,0.0016182841697676446,0.0015545118174404389,0.001949303855079128,0.0027667919944587616,0.0026482149634154705,0.003987586838981889,0.0005449001080416068,0.0005340699118139549,0.000739761700395182,6.34359833135418e-05,5.955286814462448e-05,9.708446717956507e-05,0.0008703970909118652,0.0006097853183746338,0.0019017040729522707,0.0028429174974555996,0.0018258697707815093,0.00565684193230699,0.5450698773182894,0.549568210845458,0.7544075161361905,50,0
grasp_close,top15,50,15.0,15.0,15.0,237.3686196953621,240.6855541627628,250.27184344419646,0.45950398079574106,0.45985386324729893,0.48740319325186526,0.0012359877719704665,0.0012456020443589039,0.0014768479380324428,0.0020258793444016526,0.001955641838266099,0.002707394786551249,0.0005449001080416068,0.0005340699118139549,0.000739761700395182,6.34359833135418e-05,5.955286814462448e-05,9.708446717956507e-05,0.0008703970909118652,0.0006097853183746338,0.0019017040729522707,0.003225213895252777,0.002247989946441017,0.006390563700416029,0.6373996107715187,0.6669215904819858,0.8550031427874135,50,0
grasp_close,top2,50,2.0,2.0,2.0,71.10897049884795,69.54380377943784,77.83608554702857,0.03237744845595872,0.031409837730010756,0.03659694458807021,0.003601134507660695,0.0033242909303338375,0.005533504151824147,0.007914697301002548,0.006637480427538998,0.013354303984552637,0.0033698658193487196,0.003171265807960231,0.004294640727534223,0.0003711923777271497,0.00040560841896487485,0.0007997202378571083,0.00527388334274292,0.003351449966430664,0.012622272968292237,0.0008600671595625493,0.00017381289059918183,0.0018933652512076885,0.09660561220746695,0.057234212931601636,0.2603817506553795,34,16
grasp_close,top20,50,20.0,20.0,20.0,252.57763753554133,255.8270646061159,268.0423313066079,0.5543440156611227,0.5564233384595865,0.5766576633230837,0.0010204020639224148,0.0011134479186077398,0.0012837903028048718,0.0016640648991321375,0.0016053463463261454,0.002104136137336261,1.913047533417949e-05,1.74145458546461e-05,3.339216996644068e-05,4.382990584714516e-05,3.966301699311406e-05,7.952999047060404e-05,0.0007251214981079102,0.0004616081714630127,0.0018071353435516358,0.0034407996033008286,0.002555320215448402,0.006791618942451,0.6889391737565416,0.7274822301200278,0.905587737367917,50,0
grasp_close,top3,50,3.0,3.0,3.0,106.07070748803308,104.9369278137876,119.096808666498,0.07367814870171722,0.07019232407912113,0.08743271374994109,0.0032173764219512267,0.0031191601648914904,0.004407526116473426,0.006830414991351897,0.006637480427538998,0.009811576585536903,0.0028134488901431515,0.0028055113396528333,0.003581528295992264,0.0003319286285455667,0.0003341701520533421,0.0006838499361409079,0.0035422289371490477,0.0027649104595184326,0.008206975460052491,0.0012438252452720172,0.0003513517253530788,0.002722900447969084,0.16133832526138694,0.11532211565270309,0.386894973430998,44,6
grasp_close,top5,50,5.0,5.0,5.0,142.07969278715095,142.10491225412608,154.753022962508,0.13607069660435328,0.13327457281302799,0.15217033121393864,0.002842607276031266,0.0027284028336893966,0.003961272546279487,0.00537782998316561,0.004551082046540537,0.008900336364446334,0.0028134488901431515,0.0028055113396528333,0.003581528295992264,0.0003319286285455667,0.0003341701520533421,0.0006838499361409079,0.0035422289371490477,0.0027649104595184326,0.008206975460052491,0.0016185943911919782,0.0006810153678296676,0.003254695318308427,0.2607535951823517,0.20837442226166897,0.4733761594031611,50,0
hold,all35_full_delta,10,35.0,35.0,35.0,265.47442504705276,258.57804233311606,335.57924417182784,1.0,1.0,1.0,0.00019165375573812292,0.00021559572643411502,0.00029128485275540177,0.0003789540683017428,0.0003562161782102507,0.0005392512879214892,2.081954746117452e-05,1.9353040148711703e-05,2.8460292949919374e-05,3.994111438197046e-05,3.696453237397962e-05,7.119020477922284e-05,0.00011571785435080529,9.73348505795002e-05,0.00021997680887579917,0.6851189297249836,0.7338494058628309,0.7758753876122332,0.9996964226610393,0.9997016494301655,0.99988073134965,10,0
