feature,frame,episode_id,progress,before_cosine_distance,after_cosine_distance,cosine_improvement,before_l2,after_l2,l2_improvement,shift_norm
vision_backbone.output,episode_000003_000042,episode_000003,42,0.20072461247787643,0.07458626779669719,0.12613834468117924,106.46238324130096,67.20878148515743,39.253601756143524,77.88844562194285
vision_backbone.output,episode_000003_000043,episode_000003,43,0.20501500518880622,0.07335739039721778,0.13165761479158844,107.30578917917983,66.48607128392011,40.819717895259714,76.54467910816332
vision_backbone.output,episode_000004_000000,episode_000004,0,0.08101834750159242,0.009501061003270306,0.07151728649832212,62.73390818252229,21.90741106883323,40.82649711368906,58.417423004597936
vision_backbone.output,episode_000004_000001,episode_000004,1,0.08235029554836604,0.009169477240103974,0.07318081830826206,63.21998066517072,21.506122062123094,41.713858603047626,58.08620722485779
vision_backbone.output,episode_000004_000002,episode_000004,2,0.08265749060130867,0.009438247870920735,0.07321924273038793,63.37681365563926,21.845246214043158,41.5315674415961,57.9397697540269
vision_backbone.output,episode_000004_000003,episode_000004,3,0.0830486488168759,0.010449414601840679,0.07259923421503522,63.53941639189472,23.010157642847304,40.529258749047415,57.60038100392806
vision_backbone.output,episode_000004_000004,episode_000004,4,0.08516233433321763,0.013786024354696003,0.07137630997852162,64.66039264358581,26.527259801115328,38.13313284247048,57.409895213152346
vision_backbone.output,episode_000004_000005,episode_000004,5,0.08279076080572678,0.015170291071546882,0.0676204697341799,63.581719944857056,27.86001641409854,35.72170353075852,57.41121697314917
vision_backbone.output,episode_000004_000006,episode_000004,6,0.08592207904816629,0.015194426619804191,0.0707276524283621,64.88565469232402,27.937666535791273,36.94798815653275,57.53733278683326
vision_backbone.output,episode_000004_000007,episode_000004,7,0.08749992615210211,0.019518806327292082,0.06798111982481003,65.53527335285976,31.68517544660532,33.85009790625444,57.63335743469629
vision_backbone.output,episode_000004_000008,episode_000004,8,0.10730165167837857,0.025375965959667512,0.08192568571871106,73.70007573182814,36.6079050938607,37.092170637967435,57.58759154392064
vision_backbone.output,episode_000004_000009,episode_000004,9,0.11987285607630327,0.03469490678292575,0.08517794929337752,78.4194104807958,43.163737851979384,35.25567262881642,57.79223523167109
vision_backbone.output,episode_000004_000010,episode_000004,10,0.12058860387912185,0.03417428151334456,0.08641432236577729,78.53192536007992,42.76593514542887,35.765990214651055,57.92352351494264
vision_backbone.output,episode_000004_000011,episode_000004,11,0.1183708954696806,0.034597417025719945,0.08377347844396066,78.58546400805204,43.43525723985896,35.15020676819308,58.29535724913167
vision_backbone.output,episode_000004_000012,episode_000004,12,0.11428836282326493,0.030946648742142813,0.08334171408112212,76.19668914033217,40.5269529330832,35.66973620724897,59.284502567817725
vision_backbone.output,episode_000004_000013,episode_000004,13,0.11947325815316334,0.03921085431555016,0.08026240383761318,76.39095110185235,44.77566473613774,31.61528636571461,60.29087400172832
vision_backbone.output,episode_000004_000014,episode_000004,14,0.11866831139964651,0.04535281408118752,0.07331549731845899,75.75462917376612,47.96140085298847,27.79322832077765,61.44087172738103
vision_backbone.output,episode_000004_000015,episode_000004,15,0.13773695533428676,0.04916406843329768,0.08857288690098908,79.2958853019079,48.80325670276191,30.492628599145995,62.46746967757524
vision_backbone.output,episode_000004_000016,episode_000004,16,0.13768272106899826,0.05107701166884715,0.08660570940015111,78.3287011135284,49.60155205432333,28.72714905920507,63.528386545609465
vision_backbone.output,episode_000004_000017,episode_000004,17,0.14307603407812597,0.050007323120796476,0.09306871095732949,80.90885494967608,49.60741823706232,31.301436712613764,64.94629471881605
vision_backbone.output,episode_000004_000018,episode_000004,18,0.1435962097118041,0.04725875575564087,0.09633745395616322,81.29909726382802,48.44035862996577,32.858738633862245,66.6711763604356
vision_backbone.output,episode_000004_000019,episode_000004,19,0.14604673974719762,0.045407646847155925,0.1006390929000417,81.89055281992587,47.479884418836704,34.41066840108917,68.66802553997111
