condition,correction_mode,fold_episode,frame,episode_id,progress,planner_phase,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,repr_gap_raw,repr_gap_corrected,repr_gap_reduction_ratio,action_gap_reduction
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000046,episode_000002,46,lift,0.21095736099751627,0.002524471443059673,0.00141643803944063,0.2109375,0.09536774737211105,0.21095736099751627,0.17846827278530694,0.006453072216419593,0.0003194933541160255,0.1783512830734253,0.07650734818443802,0.17846827278530694,179.8460715524195,270.4151498918523,-0.5035921972476045,0.01886039918767303
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000000,episode_000003,0,hold,0.01626778468411446,0.0009888869156510194,0.004196572681802646,0.01568603515625,0.01307280156514105,0.02176134143721794,0.015210231007820646,0.0023647156880550065,0.008418886377438702,0.012445143598597497,0.04663201221834207,0.07567858079945612,155.18291400359902,241.38072886132898,-0.5554594422407279,-0.03355921065320101
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000001,episode_000003,1,hold,0.017544184441358038,0.0009999578492039358,0.0041009962069759424,0.01702880859375,0.013277621527274453,0.017544184441358038,0.01571954125280822,0.002508001846302316,0.008772327057902443,0.012800788332242519,0.04864210825180493,0.07941089406236168,158.5796078642112,243.8851513460961,-0.537935139522671,-0.03536448672453048
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000002,episode_000003,2,alignment,0.017065226769321495,0.0009368797855625056,0.0040933087040229315,0.01654052734375,0.012876563722057411,0.01891059353943253,0.015551346048122932,0.0025803422537487007,0.008916680907658693,0.01247713906923309,0.04746707210943392,0.07648564500967935,157.9181829973976,244.8534283968215,-0.5505081413003374,-0.03459050838737651
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000003,episode_000003,3,alignment,0.017082797383630232,0.0009477474042450826,0.004163495706563073,0.01654052734375,0.013290304045747154,0.02245172910523593,0.015550519423896661,0.002601676404501588,0.008898604899868679,0.01248458109330386,0.049616273211362937,0.0816221646139324,159.28028870747738,246.21536133249643,-0.5457993159761136,-0.036325969165615785
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000004,episode_000003,4,alignment,0.02446458036303484,0.0010239317923082486,0.00402850309750039,0.02410888671875,0.022482195945387615,0.03663859191334473,0.016990174556225195,0.002602877455839252,0.008646605078243174,0.014391917211469263,0.056944649067885336,0.09927356307730019,163.1298287228827,237.33192076212472,-0.4548652605115711,-0.034462453122497724
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000005,episode_000003,5,alignment,0.020475418439144515,0.0010053136014892064,0.0031757793422928808,0.02020263671875,0.01888861328218628,0.03035168373999969,0.01761781183689122,0.0024556333681484874,0.009103747738779238,0.014882168383337557,0.058145773527100444,0.10506933487934092,143.89312799972362,223.03654432643748,-0.5500152608181947,-0.039257160244914165
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000006,episode_000003,6,alignment,0.01256348381594159,0.0007590325651146003,0.0019363644412157509,0.01239013671875,0.016125452913805627,0.04712344968304773,0.01633617646801066,0.0025782999310509174,0.009440389841299638,0.013080599019303918,0.05912952286223032,0.10552778925160133,150.69492894519533,236.26179066605303,-0.567815136977679,-0.04300406994842469
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000007,episode_000003,7,alignment,0.010947729311080186,0.0011735973460081535,0.0020948582166177066,0.01068115234375,0.02685717867418209,0.08420803107459131,0.014120321786135408,0.0022777568544746943,0.009777883481196811,0.009929164400091395,0.06049595572599714,0.1164637772344193,169.69962924452292,247.43451929056747,-0.4580734229774603,-0.03363877705181505
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000008,episode_000003,8,alignment,0.0166730782927362,0.000984796530389705,0.0006289895263682847,0.016632080078125,0.019500447144536123,0.027063487265118494,0.012808201050673857,0.002495030892329915,0.010825856153322159,0.006373827229253948,0.03286828849935074,0.058583744673627404,167.89698288681853,228.5259435260758,-0.3611081009128556,-0.013367841354814614
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000009,episode_000003,9,alignment,0.029403234390786015,0.0019835538279053136,0.00406870153574785,0.029052734375,0.05446551891375788,0.07557028278703565,0.010735324619112982,0.001802157361135324,0.008840024011441145,0.005818367382744327,0.03331563943369455,0.062138912759175165,162.7364949978347,209.85242048177952,-0.2895227987094825,0.021149879480063333
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000010,episode_000003,10,alignment,0.030659390998073868,0.0018085651040722593,0.0033142612398765286,0.030426025390625,0.04751043433907094,0.06580674269937967,0.011008432854430416,0.001997333678648735,0.009642841675018759,0.0049205544928554446,0.03836009037421943,0.07464833218061365,170.39746140173358,216.09481484190553,-0.26818095213539983,0.00915034396485151
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000011,episode_000003,11,alignment,0.020572857644175085,0.0013852408689672803,0.0026435601911684167,0.020355224609375,0.0361062252944435,0.05091813426987127,0.010373839866965788,0.002004299963953759,0.009434275828697674,0.003820179947069846,0.02342204221537821,0.040684345284733726,188.54224213447787,229.6732361287095,-0.21815267246527664,0.012684183079065294
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000012,episode_000003,12,alignment,0.04276707602034714,0.0037183838866919564,0.01085638155025106,0.04119873046875,0.11903550875176014,0.21094447723551402,0.004038003730427631,0.00044451598733134253,0.002331217538703172,0.0032670023647369817,0.020533963096484035,0.041764266698039135,203.99911670319617,246.26695023637484,-0.2071961595533538,0.09850154565527611
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000013,episode_000003,13,alignment,0.029261975400088642,0.002819487758024022,0.007051732915160884,0.02825927734375,0.05963139074925918,0.07861683080762963,0.007521420536949772,0.0014355081314209425,0.00656789510801837,0.0033725119938026182,0.04118723699526915,0.08317815191462871,173.65789582281047,232.3957521593613,-0.3382389038992113,0.018444153753990035
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000014,episode_000003,14,alignment,0.05239519776509696,0.0026840843513238543,0.005538450375966071,0.052032470703125,0.14816024687343154,0.25440118563718667,0.010167636591962083,0.0018351218538251092,0.00894305015650543,0.00447604910004884,0.04884342874392807,0.10633584806972478,173.86373782970597,228.1480501413944,-0.31222331343674553,0.09931681812950346
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000015,episode_000003,15,alignment,0.13096280328142115,0.0031895265089193544,0.005733851942280602,0.13079833984375,0.39388154069672776,0.6113417068091668,0.011834310373650486,0.001773158930565889,0.009638669149684876,0.006633465643972158,0.05900224779985373,0.13131736094437768,191.52433837306515,228.6293417545074,-0.193735186330034,0.334879292896874
